,,,,,,,,,,,,,,,,,,,,,,,m,,Mg C ha-1,Mg C ha-1,Mg C ha-1,Mg C ha-1 yr-1,yr
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9010-4,M1255,Zambezi River,Mozambique,-18.891803,36.177337,-18.891803,36.177337,Exact,5,,central,,riverine,,,,2013,0.75,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9011-1,M1256,Zambezi River,Mozambique,-18.884576,36.170079,-18.884576,36.170079,Exact,5,,central,,riverine,,,,2013,0.75,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9011-2,M1257,Zambezi River,Mozambique,-18.884272,36.170074,-18.884272,36.170074,Exact,5,,central,,riverine,,,,2013,1.90,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9011-4,M1258,Zambezi River,Mozambique,-18.884776,36.170048,-18.884776,36.170048,Exact,5,,central,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9011-5,M1259,Zambezi River,Mozambique,-18.884551,36.169838,-18.884551,36.169838,Exact,5,,central,,riverine,,,,2013,1.50,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9012-1,M1260,Zambezi River,Mozambique,-18.895905,36.16247,-18.895905,36.16247,Exact,5,,back,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9013-1,M1261,Zambezi River,Mozambique,-18.873529,36.21079,-18.873529,36.21079,Exact,5,,central,,riverine,,,,2013,0.75,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9014-1,M1262,Zambezi River,Mozambique,-18.881318,36.205854,-18.881318,36.205854,Exact,5,,back,,riverine,,,,2013,0.75,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9017-1,M1263,Zambezi River,Mozambique,-18.869369,36.186352,-18.869369,36.186352,Exact,5,,central,,riverine,,,,2013,1.97,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9018-1,M1264,Zambezi River,Mozambique,-18.865541,36.182005,-18.865541,36.182005,Exact,5,,outer,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9019-1,M1265,Zambezi River,Mozambique,-18.881049,36.185503,-18.881049,36.185503,Exact,5,,central/outer,,riverine,,,,2013,0.75,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9019-2,M1266,Zambezi River,Mozambique,-18.880766,36.185418,-18.880766,36.185418,Exact,5,,central/outer,,riverine,,,,2013,1.74,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9019-3,M1267,Zambezi River,Mozambique,-18.881006,36.185733,-18.881006,36.185733,Exact,5,,central/outer,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9019-4,M1268,Zambezi River,Mozambique,-18.881299,36.185507,-18.881299,36.185507,Exact,5,,central/outer,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",out,USFS,FS-DAC 9019-5,M1269,Zambezi River,Mozambique,-18.881905,36.18522,-18.88165083,36.18521311,Exact,5,,outer,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9020-1,M1270,Zambezi River,Mozambique,-18.864463,36.221288,-18.864463,36.221288,Exact,5,,outer,,riverine,,,,2013,1.90,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9020-2,M1271,Zambezi River,Mozambique,-18.864215,36.221284,-18.864215,36.221284,Exact,5,,outer,,riverine,,,,2013,1.50,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9020-3,M1272,Zambezi River,Mozambique,-18.864492,36.221487,-18.864492,36.221487,Exact,5,,outer,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9020-4,M1273,Zambezi River,Mozambique,-18.864724,36.221243,-18.864724,36.221243,Exact,5,,outer,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9020-5,M1274,Zambezi River,Mozambique,-18.864466,36.220993,-18.864466,36.220993,Exact,5,,outer,,riverine,,,,2013,1.93,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9021-1,M1275,Zambezi River,Mozambique,-18.868706,36.141405,-18.868706,36.141405,Exact,5,,central,,riverine,,,,2013,1.85,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9022-1,M1276,Zambezi River,Mozambique,-18.84346,36.132076,-18.84346,36.132076,Exact,5,,central,,riverine,,,,2013,0.75,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9022-2,M1277,Zambezi River,Mozambique,-18.843199,36.132027,-18.843199,36.132027,Exact,5,,central,,riverine,,,,2013,1.50,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9022-3,M1278,Zambezi River,Mozambique,-18.843516,36.13238,-18.843516,36.13238,Exact,5,,central,,riverine,,,,2013,1.86,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9022-4,M1279,Zambezi River,Mozambique,-18.843699,36.132137,-18.843699,36.132137,Exact,5,,central,,riverine,,,,2013,0.65,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9022-5,M1280,Zambezi River,Mozambique,-18.8434384,36.131863,-18.8434384,36.131863,Exact,5,,central,,riverine,,,,2013,1.90,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9023-1,M1281,Zambezi River,Mozambique,-18.88562,36.152977,-18.88562,36.152977,Exact,5,,central,,riverine/estuarine,,,,2013,0.75,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9023-2,M1282,Zambezi River,Mozambique,-18.885389,36.153033,-18.885389,36.153033,Exact,5,,central,,riverine/estuarine,,,,2013,1.50,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9023-3,M1283,Zambezi River,Mozambique,-18.885393,36.15351,-18.885393,36.15351,Exact,5,,central,,riverine/estuarine,,,,2013,1.50,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",out,USFS,FS-DAC 9024-1,M1284,Zambezi River,Mozambique,-18.823362,36.211684,-18.82343045,36.21138955,Exact,5,,outer,,riverine,,,,2013,1.95,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9025-1,M1285,Zambezi River,Mozambique,-18.851282,36.278995,-18.851282,36.278995,Exact,5,,outer,,riverine,,,,2013,1.50,Y,,,,,
FS-DAC,,"N, but can be accessed directly from the FS-DAC",in,USFS,FS-DAC 9027-1,M1286,Zambezi River,Mozambique,-18.860388,36.166532,-18.860388,36.166532,Exact,5,,central,,riverine,,,,2013,1.95,Y,,,,,
Frith et al 1976,"Disturbed by cutting and fire a few years earlier, only sparse mangroves",Y,in,D. W. Frith,DWF76 Zone 1,M1287,Phuket,Thailand,7.837612,98.395231,7.837612,98.395231,estimated from GE,40,,central,,marine,,,D,1975,0.25,N,,,,,
Frith et al 1976,,Y,in,D. W. Frith,DWF76 Zone 2,M1288,Phuket,Thailand,7.838091,98.395533,7.838091,98.395533,estimated from GE,40,,central,,marine,,,,1975,0.25,N,,,,,
Frith et al 1976,,Y,in,D. W. Frith,DWF76 Zone 3A,M1289,Phuket,Thailand,7.838095,98.395851,7.838095,98.395851,estimated from GE,50,,central,,marine,,Rhizophora apiculata,,1975,0.25,N,,,,,
Frith et al 1976,,Y,in,D. W. Frith,DWF76 Zone 3B,M1290,Phuket,Thailand,7.838277,98.396524,7.838277,98.396524,estimated from GE,50,,central,,marine,,Rhizophora apiculata,,1975,0.25,N,,,,,
Frith et al 1976,,Y,out,D. W. Frith,DWF76 Zone 3C,M1291,Phuket,Thailand,7.838477,98.397022,7.838272299,98.39681537,estimated from GE,50,,central/outer,,marine,,Rhizophora apiculata,,1975,0.25,N,,,,,
Naidoo 1980,,Y,out,G. Naidoo,GN80 Avicennia marina 1,M1292,Durban,South Africa,-29.808893,31.040096,-29.808893,31.040096,estimated from GE,40,,outer,,estuarine,,Avicennia marina,,1978,1.00,N,,,,,
Naidoo 1980,,Y,out,G. Naidoo,GN80 Avicennia marina 2,M1293,Durban,South Africa,-29.808775,31.040077,-29.808775,31.040077,estimated from GE,40,,outer,,estuarine,,Avicennia marina,,1978,1.00,N,,,,,
Naidoo 1980,,Y,out,G. Naidoo,GN80 Avicennia marina 3,M1294,Durban,South Africa,-29.808644,31.040053,-29.808644,31.040053,estimated from GE,40,,outer,,estuarine,,Avicennia marina,,1978,1.00,N,,,,,
Naidoo 1980,,Y,out,G. Naidoo,GN80 Bruguiera gymnorrhiza 1,M1295,Durban,South Africa,-29.806815,31.041038,-29.806815,31.041038,estimated from GE,25,,outer,,riverine,,Bruguiera gymnorrhiza,,1978,1.00,N,,,,,
Naidoo 1980,,Y,out,G. Naidoo,GN80 Bruguiera gymnorrhiza 2,M1296,Durban,South Africa,-29.806807,31.040694,-29.806807,31.040694,estimated from GE,25,,central,,riverine,,Bruguiera gymnorrhiza,,1978,1.00,N,,,,,
Naidoo 1980,,Y,out,G. Naidoo,GN80 Bruguiera gymnorrhiza 3,M1297,Durban,South Africa,-29.806822,31.040338,-29.806822,31.040338,estimated from GE,25,,central,,riverine,,Bruguiera gymnorrhiza,,1978,1.00,N,,,,,
Naidoo and Raiman 1982,,Y,out,G. Naidoo,GN82 Sipingo 1,M1298,Sipingo River,South Africa,-29.988266,30.947644,-29.988266,30.947644,approximate,4000,,unknown,,unknown,,,,1980,1.00,N,,,,,
Naidoo and Raiman 1982,,Y,out,G. Naidoo,GN82 Sipingo 2,M1299,Sipingo River,South Africa,-29.988266,30.947644,-29.988266,30.947644,approximate,4000,,unknown,,unknown,,,,1980,1.00,N,,,,,
Naidoo and Raiman 1982,,Y,out,G. Naidoo,GN82 Mdloti,M1300,Mdloti River,South Africa,-29.651374,31.126536,-29.651374,31.126536,estimated from GE,250,,outer,,unknown,,,,1980,1.00,N,,,,,
Cardona and Botero 1998,,Y,in,P. Cardona,PC98 RIN,M1301,Cienaga Grande de Santa Marta,Colombia,10.962368,-74.500651,10.962368,-74.500651,estimated from GE,1000,,unknown,,riverine,Y,"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa",,1990,0.20,N,,,,,
Cahoon and Lynch 1997,,Y,in,D. R. Cahoon,DRC97 Fringe,M1302,"Rookery Bay, Florida",USA,26.020678,-81.734284,26.020678,-81.734284,estimated from GE,150,,outer,,estuarine,,Rhizophora mangle,,1995,0.01,N,,,,,
Cahoon and Lynch 1997,,Y,in,D. R. Cahoon,DRC97 Basin,M1303,"Rookery Bay, Florida",USA,26.020463,-81.733491,26.020463,-81.733491,estimated from GE,250,,central,,estuarine,,"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa",,1995,0.01,N,,,,,
Cahoon and Lynch 1997,,Y,out,D. R. Cahoon,DRC97 Exposed island,M1304,"Rookery Bay, Florida",USA,26.028615,-81.742777,26.028615,-81.742777,estimated from GE,25,,outer,,estuarine,,Rhizophora mangle,,1995,0.01,N,,,,,
Cahoon and Lynch 1997,,Y,in,D. R. Cahoon,DRC97 Sheltered island,M1305,"Rookery Bay, Florida",USA,26.024445,-81.746804,26.024445,-81.746804,estimated from GE,25,,unknown,,estuarine,,Rhizophora mangle,,1995,0.01,N,,,,,
Brunskill et al 2002,,Y,in,"G. J. Brunskill, g.brunskill@aims.gov.au",GJB02 586,M1306,"Hinchinbrook Island, QLD",Australia,-18.249189,146.2791,-18.249189,146.2791,estimated from GE,100,,unknown,,riverine,Y,,,1998,,Y,,,,,
Brunskill et al 2002,,Y,in,"G. J. Brunskill, g.brunskill@aims.gov.au",GJB02 584,M1307,"Hinchinbrook Island, QLD",Australia,-18.377084,146.141792,-18.377084,146.141792,estimated from GE,250,,unknown,,marine,,,,1998,,Y,,,,,
Brunskill et al 2002,,Y,in,"G. J. Brunskill, g.brunskill@aims.gov.au",GJB02 582,M1308,"Hinchinbrook Island, QLD",Australia,-18.363156,146.153693,-18.363156,146.153693,estimated from GE,250,,unknown,,marine,,,,1998,,Y,,,,,
DelVecchia et al 2014,,Y,out,"A. G. DelVecchia, amanda.delvecchia@umontana.edu",AGD14 PL 2,M1309,Esmeraldas,Ecuador,0.627087,-80.027614,0.627121437,-80.02751757,Exact,5,,outer,,estuarine,,,,2012,0.89,N,,,,,
DelVecchia et al 2014,,Y,in,"A. G. DelVecchia, amanda.delvecchia@umontana.edu",AGD14 BR 1,M1310,Esmeraldas,Ecuador,0.564864,-80.002429,0.564864,-80.002429,Exact,5,,outer,,estuarine,,,,2012,0.89,N,,,,,
DelVecchia et al 2014,,Y,in,"A. G. DelVecchia, amanda.delvecchia@umontana.edu",AGD14 BR 3,M1311,Esmeraldas,Ecuador,0.565026,-79.999949,0.565026,-79.999949,Exact,5,,central,,estuarine,,,,2012,0.71,N,,,,,
DelVecchia et al 2014,,Y,in,"A. G. DelVecchia, amanda.delvecchia@umontana.edu",AGD14 BR 4,M1312,Esmeraldas,Ecuador,0.564339,-80.001377,0.564339,-80.001377,Exact,5,,central/outer,,estuarine,,,,2012,0.77,N,,,,,
DelVecchia et al 2014,,Y,in,"A. G. DelVecchia, amanda.delvecchia@umontana.edu",AGD14 BR 6,M1313,Esmeraldas,Ecuador,0.566157,-80.00109,0.566157,-80.00109,Exact,5,,outer,,estuarine,,,,2012,0.89,N,,,,,
DelVecchia et al 2014,,Y,in,"A. G. DelVecchia, amanda.delvecchia@umontana.edu",AGD14 BR 7,M1314,Esmeraldas,Ecuador,0.565832,-80.001844,0.565832,-80.001844,Exact,5,,outer,,estuarine,,,,2012,0.89,N,,,,,
DelVecchia et al 2014,,Y,out,"A. G. DelVecchia, amanda.delvecchia@umontana.edu",AGD14 TM 1,M1315,Esmeraldas,Ecuador,0.559662,-79.998071,0.559672331,-79.99822253,Exact,5,,central,,estuarine,,,,2012,0.95,N,,,,,
DelVecchia et al 2014,,Y,in,"A. G. DelVecchia, amanda.delvecchia@umontana.edu",AGD14 TM 6,M1316,Esmeraldas,Ecuador,0.557907,-79.999644,0.557907,-79.999644,Exact,5,,central/outer,,estuarine,,,,2012,0.65,N,,,,,
Zhang et al 2012,,Y,in,"R. Hai, renhai@scib.ac.cn",JPZ12 Sites 1-2,M1317,Yingluo Harbor,China,21.568751,109.75712,21.568751,109.75712,estimated from GE,150,,central/back,,estuarine,,,,2007,0.90,N,,,,,
Owers et al 2016,,Y,out,"C. J. Owers, cjo766@uowmail.edu.au",CJO16 Tall Mangrove,M1318,"Currambene Creek, NSW",Australia,-35.006626,150.668402,-35.00812667,150.6683056,estimated from GE,30,short-medium,outer,,riverine,,,,2014,0.30,N,,,,,
Owers et al 2016,,Y,out,"C. J. Owers, cjo766@uowmail.edu.au",CJO16 Shrub Mangrove,M1319,"Currambene Creek, NSW",Australia,-35.013693,150.666216,-35.01600581,150.6665466,estimated from GE,30,dwarf,outer,,riverine,,,,2014,0.30,N,,,,,
Owers et al 2016,,Y,in,"C. J. Owers, cjo766@uowmail.edu.au",CJO16 Dwarf Mangrove,M1320,"Currambene Creek, NSW",Australia,-35.019153,150.66816,-35.019153,150.66816,estimated from GE,50,dwarf,back,,riverine,,,,2014,0.30,N,,,,,
Thimdee et al 2003,,Y,in,W. Thimdee,WT03 Mangrove Sediment,M1321,Khung Krabaen Bay,Thailand,12.592161,101.906571,12.592161,101.906571,estimated from GE,2500,,unknown,,marine,,,,2001,0.02,N,,,,,
Kristensen et al 1992,,Y,out,"E. Kristensen, ebk@biology.ou.dk",EK92 Dry Site,M1322,Indus Delta,Pakistan,24.763758,67.362546,24.763758,67.36229804,estimated from GE,250,,outer,,riverine,,Avicennia marina,,1991,0.10,Not sure,,,,,
Kristensen et al 2000,,Y,in,"E. Kristensen, ebk@biology.ou.dk",EK00 MB,M1323,Phuket Island,Thailand,8.055535,98.418903,8.055535,98.418903,estimated from GE,100,,outer,,riverine,,Rhizophora mucronata,,1998,0.16,Not sure,,,,,
Dissanayake and Chandrasekara 2014,,Y,in,"U. Chandrasekara, upali@kln.ac.lk",ND14 Avicennia,M1324,Negombo Estuary,Sri Lanka,7.195614,79.843577,7.195614,79.843577,exact,25,,central,,estuarine,,Avicennia marina,,2012,0.15,N,,,,,
Dissanayake and Chandrasekara 2014,,Y,in,"U. Chandrasekara, upali@kln.ac.lk",ND14 Rhizophora,M1325,Negombo Estuary,Sri Lanka,7.19536,79.843759,7.19536,79.843759,exact,25,,outer,,estuarine,,"Rhizophora apiculata, Rhizophora mucronata",,2012,0.15,N,,,,,
Dissanayake and Chandrasekara 2014,,Y,out,"U. Chandrasekara, upali@kln.ac.lk",ND14 Lumnitzera,M1326,Negombo Estuary,Sri Lanka,7.196772,79.843314,7.196717332,79.84350686,exact,25,,back,,estuarine,,Lumnitzera racemosa,,2012,0.15,N,,,,,
Frusher et al 1994,,Y,in,T. J. Smith III,SDF94 1,M1327,"Murray River, QLD",Australia,-18.078864,146.023005,-18.078864,146.023005,estimated from GE,250,,unknown,,riverine/estuarine,,,,1987,0.45,N,,,,,
Frusher et al 1994,,Y,in,T. J. Smith III,SDF94 2,M1328,"Murray River, QLD",Australia,-18.083427,146.000095,-18.083427,146.000095,estimated from GE,100,,unknown,,riverine,,,,1987,0.45,N,,,,,
Frusher et al 1994,,Y,in,T. J. Smith III,SDF94 3,M1329,"Murray River, QLD",Australia,-18.101195,145.985549,-18.101195,145.985549,estimated from GE,100,,unknown,,riverine,,,,1987,0.45,N,,,,,
Frusher et al 1994,,Y,in,T. J. Smith III,SDF94 4,M1330,"Murray River, QLD",Australia,-18.105466,145.963259,-18.105466,145.963259,estimated from GE,100,,unknown,,riverine,,,,1987,0.45,N,,,,,
Frusher et al 1994,,Y,out,T. J. Smith III,SDF94 5,M1331,"Murray River, QLD",Australia,-18.100419,145.961916,-18.10340437,145.9607038,estimated from GE,100,,unknown,,riverine,,,,1987,0.45,N,,,,,
Lee and Baker 1972,,Y,in,B. K. H. Lee,BKHL72 Station I,M1332,Heeia,Hawaii,21.437496,-157.811985,21.437496,-157.811985,estimated from GE,100,,central,,riverine/estuarine,,"Rhizophora mangle, Bruguiera sexangula",,1969,0.08,N,,,,,
Otero et al 2009,,Y,out,"X. L. Otero, l.otero@usc.es",XLO09 Laguncularia,M1333,"Pai Matos Island,Cananéia, State of São Paulo",Brazil,-24.996785,-47.907329,-24.99687864,-47.90706727,estimated from GE,200,,outer,,riverine/estuarine,,Laguncularia racemosa,,2005,0.30,N,,,,,
Otero et al 2009,,Y,out,"X. L. Otero, l.otero@usc.es",XLO09 Rhizophora,M1334,"Pai Matos Island,Cananéia, State of São Paulo",Brazil,-24.996822,-47.907276,-24.99691564,-47.90701427,estimated from GE,200,,outer,,riverine/estuarine,,Rhizophora mangle,,2005,0.40,N,,,,,
Otero et al 2009,,Y,in,"X. L. Otero, l.otero@usc.es",XLO09 Avicennia,M1335,"Pai Matos Island,Cananéia, State of São Paulo",Brazil,-24.996941,-47.907039,-24.996941,-47.907039,estimated from GE,200,,central,,riverine/estuarine,,Avicennia schauerianna,,2005,0.35,N,,,,,
Moreno and Calderon 2011,,Y,out,A. N. M. Moreno,ANMM11 Averaged,M1336,"Hooker Bay, San Andres Island",Colombia,12.565833,-81.70455,12.565833,-81.70455,estimated from GE,200,,central/back,,estuarine/marine,,Rhizophora mangle,,2009,1.00,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 1,M1337,Three Fathoms Cove,Hong Kong,22.432217,114.268921,22.432217,114.268921,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 2,M1338,Three Fathoms Cove,Hong Kong,22.432182,114.268883,22.432182,114.268883,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 3,M1339,Three Fathoms Cove,Hong Kong,22.432157,114.268834,22.432157,114.268834,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 4,M1340,Three Fathoms Cove,Hong Kong,22.432143,114.268788,22.432143,114.268788,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 5,M1341,Three Fathoms Cove,Hong Kong,22.432118,114.268748,22.432118,114.268748,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 6,M1342,Three Fathoms Cove,Hong Kong,22.432101,114.268704,22.432101,114.268704,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 7,M1343,Three Fathoms Cove,Hong Kong,22.432076,114.268642,22.432076,114.268642,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 8,M1344,Three Fathoms Cove,Hong Kong,22.432051,114.268589,22.432051,114.268589,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 9,M1345,Three Fathoms Cove,Hong Kong,22.432029,114.268551,22.432029,114.268551,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 10,M1346,Three Fathoms Cove,Hong Kong,22.432004,114.268498,22.432004,114.268498,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 11,M1347,Three Fathoms Cove,Hong Kong,22.43199,114.26845,22.43199,114.26845,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 12,M1348,Three Fathoms Cove,Hong Kong,22.431968,114.268399,22.431968,114.268399,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 13,M1349,Three Fathoms Cove,Hong Kong,22.43196,114.268378,22.43196,114.268378,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 14,M1350,Three Fathoms Cove,Hong Kong,22.431932,114.268321,22.431932,114.268321,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 15,M1351,Three Fathoms Cove,Hong Kong,22.431913,114.268252,22.431913,114.268252,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 16,M1352,Three Fathoms Cove,Hong Kong,22.43188,114.268179,22.43188,114.268179,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 17,M1353,Three Fathoms Cove,Hong Kong,22.431855,114.268112,22.431855,114.268112,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 18,M1354,Three Fathoms Cove,Hong Kong,22.431827,114.268045,22.431827,114.268045,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 19,M1355,Three Fathoms Cove,Hong Kong,22.431794,114.267999,22.431794,114.267999,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 20,M1356,Three Fathoms Cove,Hong Kong,22.431761,114.267938,22.431761,114.267938,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,out,"N. Tam, City University of Hong Kong",NFYT98 Transect A Core 21,M1357,Three Fathoms Cove,Hong Kong,22.431731,114.267877,22.431731,114.267877,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 1,M1358,Three Fathoms Cove,Hong Kong,22.423235,114.271012,22.423235,114.271012,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 2,M1359,Three Fathoms Cove,Hong Kong,22.423232,114.270982,22.423232,114.270982,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 3,M1360,Three Fathoms Cove,Hong Kong,22.423232,114.270934,22.423232,114.270934,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 4,M1361,Three Fathoms Cove,Hong Kong,22.423238,114.270889,22.423238,114.270889,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 5,M1362,Three Fathoms Cove,Hong Kong,22.423235,114.270835,22.423235,114.270835,estimated from GE,50,,outer,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 6,M1363,Three Fathoms Cove,Hong Kong,22.423185,114.270757,22.423185,114.270757,estimated from GE,50,,outer/central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 7,M1364,Three Fathoms Cove,Hong Kong,22.423185,114.270717,22.423185,114.270717,estimated from GE,50,,outer/central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 8,M1365,Three Fathoms Cove,Hong Kong,22.423191,114.270659,22.423191,114.270659,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
Tam and Wong 1998,,Y,in,"N. Tam, City University of Hong Kong",NFYT98 Transect B Core 9,M1366,Three Fathoms Cove,Hong Kong,22.423191,114.270598,22.423191,114.270598,estimated from GE,50,,central,,marine,,,,1990,0.01,N,,,,,
